Supplier L Pricing For 4/20/2026,,,
Description,Variant Code,Price,Brand
CLEMENTINE STEM&LEAF 7K S.1,SPECIAL,37,LA KENZIE
CLEMENTINE STEM&LEAF 7K S.X,,37,BOLLO
,,,LA KENZIE
,B LOT,37,LA KENZIE
,SPECIAL,37,LA KENZIE
COCONUT GREEN 10CT,,27,GENERIC
COLLARD 12CT,,30,JJ LOOP
,,,LITTLE BEAR
CORN PEACHES & CREAM,,100,PIONEER
CUCUMBER ENGLISH - LG,,12,BAYSHORE
,,,NATURE FRESH
,,,TOPLINE
,MEXICO,16,FRESH FARMS 
CUCUMBER ENGLISH - MD,,10,BAYSHORE
,,,DEL FRESCO
,,,TOPLINE
,B LOT,10,DEL FRESCO
CUCUMBER MINI 12X6 TRAY,,19,CARROUSEL
,,,NATURE FRESH
,B LOT,19,CARROUSEL
,BP,19,GREAT LAKES
,,,SUNSET
CURRY LEAVES,,48,GENERIC
DAIKON WITH TOPS 40LB,,45,GENERIC
DANDELION GREEN 12CT,,33,JJ LOOP
,,,LITTLE BEAR
DATE MEDJOUL 12X454G,,62,MEHADRIN
DATE YELLOW 4.5KG,,69,ATHOS
DILL WEED 24CT,,50,JJ LOOP
,,,LITTLE BEAR
DRAGON FRUIT 10LB,,30,ALK Fresh
DRAGON FRUIT RED FLESH 8CT,,30,HMV
EDDOE,,52,GENERIC
EGGPLANT BABY,,36,ST. DAVID'S
,,,ZAKARIA
EGGPLANT CHINESE 30LB,,52,GENERIC
EGGPLANT FANCY 24,RECLAM,24,SUN ONE
EGGPLANT FANCY 32,,10,SUNFED
EGGPLANT INDIAN 30LB,,40,GENERIC
ENDIVE 24,,42,NATIONAL
,,,RAYS HERITAGE
ENDIVE BELGIUM,,48,FLANDRIA
,,,GENERIC
ESCAROLE 24,,50,NATIONAL
,,,RAYS HERITAGE
FIG PURPLE 16 BRAZIL ,,11,HMV
FIG PURPLE 20 BRAZIL ,,11,HMV
GARLIC 50X3CT,,18,LT BROS
GARLIC BRAID 1KG,,27,LT BROS
GARLIC LOOSE 10KG,,26,GENERIC
,,,LT BROS
GARLIC LOOSE PURPLE 10 KG,,60,EL PAJIZO
GARLIC PURPLE COLOSSAL 30LB,,90,EL PAJIZO
,P GREEN,45,GENERIC
GARLIC-PEELED,,25,LT BROS
GINGER,,32,AM Produce
,,,LT BROS
GOLDENBERRY 12X200G,,38,CARIBBEAN
,,,GENERIC
,B LOT,10,GENERIC
,P GREEN,38,ATHOS
GRANADILLA,,32,CARIBBEAN
,,,FRUIT EXOTIC
GRAPE COTTON CANDY 7.3KG,,70,GESEX
,,,QUELAN
GRAPE SDLS BLK SW FAVOR JB900,,65,CLASSIC
GRAPE SDLS GR A.CRISP 4J,,95,FLAVOR MOUNTAIN
,,,TALSA
GRAPE SDLS GR A.CRISP 5J,,98,SUN FRUIT
,,,TALSA
GRAPE SDLS GR A.CRISP XJ1000,,95,FLAVOR FARMS
,,,SANTA MARIA
,,,SUBSOLE
,CHILE,95,GESEX
GRAPE SDLS GR SW GLOBE XJB1000,,65,UVICA
GRAPE SDLS GR SWEETIES XL700,RECLAM,30,GLS
GRAPE SDLS RED ALLISON JB900,,45,SANTA MARIA
,,,SUBSOLE
GRAPE SDLS RED ALLISON LG500,DISCOUNT,35,SUBSOLE
GRAPE SDLS RED TIMCO JB900,DISCOUNT,45,SUBSOLE
GRAPE SEED RED GLOBE JB900,,65,CLASSIC
,,,SANTA MARIA
GRAPEFRUIT RED 32,PLU,32,JAFFA
GRAPEFRUIT RED 35,PLU,32,JAFFA
GRAPEFRUIT RED 50,NON PLU,42,LOVELY
,PLU,42,LOVELY
GRAPEFRUIT RED 55,PLU,42,LOVELY
GRAPEFRUIT RED 60,NON PLU,40,LOVELY
GUAVA 1.5 KG,,15,DIAMOND
JUICE BLUEBERRY 48OZ,,68,POM WONDERFUL
JUICE BLUEBERRY 6X16OZ,,26,POM WONDERFUL
JUICE CHERRY 6X16OZ,,26,POM WONDERFUL
JUICE POMEGRANATE 6X16OZ,,26,POM WONDERFUL
JUICE POMEGRANATE 6X48OZ,,68,POM WONDERFUL
KALE GREEN 24CT,,45,JJ LOOP
,,,LITTLE BEAR
KALE RED 12CT,,28,JJ LOOP
KALE TUSCAN (BLACK) 12CT,,36,LITTLE BEAR
KARELLA INDIAN 30LB,,72,GENERIC
KIWI 23 VF 9KG,,54,TOKAS
KIWI 25 VF 9KG,,54,PINK
,,,TOKAS
KIWI 27 VF 9KG,,54,BRERO
,,,TOKAS
KIWI 30 VF 9KG,,42,TOKAS
,B LOT,42,TOKAS
KIWI 33 VF 9KG,,44,TOKAS
KIWI 39 VF 9KG,,38,TOKAS
KIWI 42 VF 9KG,,38,BRERO
KIWI 46 VF 9KG,,30,BRERO
,,,TOKAS
,B LOT,10,BRERO
KIWI CLAMSHELL 10X600GR,,36,BRERO
KOLARABI 12CT,,42,LITTLE BEAR
KUMQUAT,,40,GENERIC
LEEK,,48,CULTURES
,P GREEN,38,GENERIC
LEMON 100 15KG,PLU,38,DOWN SOUTH
,,,FRUIT ONE
LEMON 113-2 15KG NP,NON PLU,36,FRUIT ONE
LEMON 14X2LB,,50,DARLING
LEMON 75 15KG,PLU,38,DOWN SOUTH
,,,FRUIT ONE
,SPECIAL,38,DOWN SOUTH
LEMON 88 15KG,PLU,38,DOWN SOUTH
,,,FRUIT ONE
LEMON FANCY 75,,46,KINGS RIVER
,SUNKIST,46,SUNKIST
LETTUCE 24 WRAPPED,,74,ANDY BOY
,,,GENERIC
,,,LYLLES 
,,,NATURES REWARD
,BP,74,DOLE
,,,OCEAN MIST
,,,STEINBECK 
,MEXICO,74,CARROUSEL
,P GREEN,30,CARROUSEL
,SPECIAL,20,ANDY BOY
LETTUCE 30 WRAPPED,SPECIAL,28,ANDY BOY
LETTUCE ARUGULA 24CT,,38,LITTLE BEAR
LETTUCE BOSTON 12,,60,FLANDRIA
,,,SOHO
LETTUCE FRISEE 10CT,,46,CUADRASPANIA
LETTUCE LEAF GREEN 24,,34,ANDY BOY
,BP,34,ANDY BOY
,,,DOLE
,,,STEINBECK 
LETTUCE LEAF RED 24,,32,ANDY BOY
,BP,32,ANDY BOY
LETTUCE LEAF RED 24,,32,DOLE
,,32,STEINBECK 
LETTUCE LITTLE GEM 8X4PK,,36,CHURCH BRO
LETTUCE ROMAINE 24,,44,ANDY BOY
,BP,44,ANDY BOY
,,,DOLE
,,,STEINBECK 
LETTUCE ROMAINE HEART 18X2,SPECIAL,8,ANDY BOY
LETTUCE ROMAINE HEART S B 7X6,,60,ANDY BOY
LETTUCE ROMAINE HEARTS 12/3,,52,ANDY BOY
,BP,52,ANDY BOY
,,,DOLE
,,,STEINBECK 
,SPECIAL,8,ANDY BOY
LETTUCE ROMAINE HRTS BABY 14X3,,34,ANDY BOY
LIME 175,,105,GENERIC
,,,PASO
,,,SAAO
LIME 200,,100,GENERIC
,,,PASO
,,,SAAO
LIME 230,,98,SAAO
LIME KEY 12X1LB,,37,PASO
LIME SWEET JMB,,85,GENERIC
LOQUAT 2KG XL,,40,FRUT ALTEA
MANDARIN 15X2LB,,47,DARLING
MANDARIN 17KG SIZE 1 NP,,42,LADY B
,B LOT,42,CAP AGRO
,,,LADY B
MANDARIN 17KG SIZE 1X NP,,42,LADY B
MANDARIN 17KG SIZE 2 NP,,42,CAP AGRO
,,,LADY B
,B LOT,42,BERKANE
,,,LADY B
MANDARIN 17KG SIZE 3 NP,,42,CAP AGRO
,,,LADY B
MANDARIN KINNOW 10KG SIZE 54,,26,TOPPINS
MANDARIN KINNOW 15KG SIZE 2 NP,,40,TOPPINS
MANGO 10,,16,GENERIC
MANGO 9,,16,GENERIC
MANGO GREEN 30LB,,52,GENERIC
MANGO MINGOLO 4KG 12CT,,26,GENERIC
MANGO PALMER 8,,24,GRAND VALLE 
MANGO PALMER 9,,24,GRAND VALLE 
MANGO SUGAR 2KG,,24,FRUIT EXOTIC
MELON DINO 5,,30,CLASSIC
MELON HONEYDEW 5 JUMBO,,34,KANDY
,BP,34,GENERIC
MELON HONEYDEW 6,,36,SOL
,SPECIAL,10,SOL
METHI 24CT,,44,ST. CARLOS
MINT 24,,22,J.D. FRESH HERBS
MURCOTT 10KG 48,,28,AGROMOON
MURCOTT 10KG 54,,28,AGROMOON
,B LOT,28,AGROMOON
MUSHROOM BRN (CREM) 227G,,21,UNIONVILLE
MUSHROOM BROWN 5LBS,,15.5,UNIONVILLE
MUSHROOM BROWN SELECT,,20,A. & J. MUSHROOM
MUSHROOM OYSTER 5LB,,44,UNIONVILLE
MUSHROOM PORTABELLO 5 LB,,23,UNIONVILLE
MUSHROOM SELECT WHITE,,19,UNIONVILLE
MUSHROOM SHI TAKI LG,,26,UNIONVILLE
MUSHROOM SLICED WHITE 227G,,25,UNIONVILLE
MUSHROOM WHITE 227G,,20,UNIONVILLE
MUSHROOM WHITE 5LB,,14.5,UNIONVILLE
NADORCOTT 1.8KG SIZE 18,,6,DARLING ZAOUIA
NECTARINE VF 48/50,,95,EXTRA VALUE
NECTARINE VF 56,,95,EXTRA VALUE
NECTARINE VF 64,,95,EXTRA VALUE
NUT PISTACHIO COMBO 1/4 BIN,,1600,WONDERFUL
NUT PISTACHIO COMBO 450GR BIN,,1500,WONDERFUL
NUT PISTACHIO FLAV HR+SC+SP+SV,,550,WONDERFUL
NUT PISTACHIO FLAV JL+CR,,550,WONDERFUL
NUT PISTACHIO S&P 12X200G,,65,WONDERFUL
NUT PISTACHIO SC 12X200G,,65,WONDERFUL
NUT PISTACHIO SH COMBO LS & RS,,550,WONDERFUL
OKRA INDIAN,,48,GENERIC
ONION 10LB MEDIUM,BP,3,GENERIC
ONION 16x3,,28,GENERIC
ONION GREEN ICELESS LARGE,,38,BAJA
,,,CHIVETTE
ONION GREEN ICELESS MEDIUM,,34,CHIVETTE
,BP,34,GREEN LIFE 
ONION RED 16X3LB,BP,47,GENERIC
ONION RED 7LB,BP,4,GENERIC
ORANGE BLOOD 1/2 CARTON 72,,30,SUNKIST
ORANGE BLOOD 70,SANG,70,BOLLO
ORANGE BLOOD 80,SANG,70,BOLLO
ORANGE CARA CONSUMER PAK 56,,30,CLASSIC
,,,SUNKIST
ORANGE NAVEL CAT.I 100,NON PLU,33,LOVELY
ORANGE VALENCIA CAT II 72,NON PLU,24,AGROMOON
,,,PALM EGYPT
ORANGE VALENCIA CAT II 80,NON PLU,24,PALM EGYPT
ORANGE VALENCIA CAT II 88,NON PLU,24,AGROMOON
,,,PALM EGYPT
ORANGE VALENCIA CAT. I 80,NON PLU,24,AGROMOON
,,,KING
ORANGE VALENCIA CAT. I 88,NON PLU,24,AGROMOON
,,,KING
ORANGE VALENCIA CAT. II 100,NON PLU,24,AGROMOON
,,,PALM EGYPT
PARSLEY CURLY 30 CT,,28,JJ LOOP
,,,LITTLE BEAR
PARSLEY PLAIN 30 CT,,28,JJ LOOP
,,,LITTLE BEAR
PASSIONFRUIT MILAGROSA,,30,BAYSHORE
PASSIONFRUIT PURPLE,,30,FRUIT EXOTIC
PEACH VF 48/50,,95,EXTRA VALUE
PEACH VF 56,,95,EXTRA VALUE
PEACH VF 64,,95,EXTRA VALUE
PEACH VF 72,,95,EXTRA VALUE
PEAR ANJOU RED 45,,40,CMI
PEAR BARTLETT 70,ARGENTINA,55,BOSCHI
,,,TRES ASES
PEAR CELINA QTEE 70,,28,STARGROW
PEAR CELINA QTEE 80,,28,STARGROW
PEAR PRICKLEY CLAMSHELL 500GRM,,48,CARROUSEL
PEAR PRICKLEY CONS PAK 18 MEX,,26,VILLA
PEPPER CHILI LONG GREEN,,84,GENERIC
PEPPER FINGER HOT RED,,60,FLANDRIA
,,,GENERIC
PEPPER GREEN JUMBO 10KG,LOCAL,68,DEL FRESCO
,,,S & S
,,,SAM DARAICHE
,,,ST. DAVID'S
PEPPER HOT YELLOW BUSHEL 1 1/9,,95,B.J. BROTHERS
PEPPER JALOPENO 1 1/9 BUSHEL,,95,B.J. BROTHERS
,B LOT,95,B.J. BROTHERS
PEPPER MINI SWEET,,50,GREAT LAKES
,BP,50,GENERIC
PEPPER ORANGE JUMBO 5KG,,30,CARROUSEL
,BP,30,SUNSET
,LOCAL,30,NATURE FRESH
,,,ST. DAVID'S
,,,SUNTASTIC
PEPPER ORANGE XLG 10KG,,20,DIVINE FLAVOR
,,,PRIME TIME
PEPPER RED JUMBO 5KG,BP,35,SUNSET
,LOCAL,30,NATURE FRESH
,,,S & S
,,,ST. DAVID'S
,,,SUNTASTIC
PEPPER RED XLG 10KG,,42,DIVINE FLAVOR
PEPPER RUSTIC ORANGE,,20,CARROUSEL
,,,ST. DAVID'S
PEPPER RUSTIC RED,,35,CARROUSEL
,,,GENERIC
,,,ST. DAVID'S
PEPPER RUSTIC YELLOW,,20,CARROUSEL
,,,ST. DAVID'S
PEPPER SERRANO 1 1/9 BUSHEL,,89,B.J. BROTHERS
PEPPER THAI CHILI 30 LB,,70,GENERIC
PEPPER YELLOW JUMBO 5KG,,30,CARROUSEL
,,,DOOZLAND
,BP,30,SUNSET
,LOCAL,30,NATURE FRESH
,,,ST. DAVID'S
,,,SUNTASTIC
PEPPER YELLOW XLG 10KG,,20,DIVINE FLAVOR
,,,PRIME TIME
PERSIMMON FUYU 9,,20,HMV
PINEAPPLE 6,,28,KAPI
PINEAPPLE CROWNLESS 5 PACK 7,,34,KAPI
PINEAPPLE CROWNLESS 6 PACK 8,,34,KAPI
PISTACHIO RSTD NO SALT 24X225,,118,WONDERFUL
PISTACHIO RSTD SALT 24X225,,118,WONDERFUL
PLUM BLACK VF 48,,48,CYD
,,,DDC
PLUM BLACK VF 60-65,,42,CYD
PLUM CHERRY 10X2LB BAG,,20,CYD
PLUM RED VF 50-55,,35,MONTE ALTO L. ANNE
,PF,25,TUNICHE
PLUM RED VF 60-65,,42,CYD
PLUM SUGAR 10X2LB BAG,,30,TRIO FRUIT
PLUM YELLOW LEMON VF 52/56,,10,DDC
POMEGRANATE PERU 10,,26,ATHOS
,,,SIEMBRA
,,,SOBI FRUITS
,SILVER,26,SIEMBRA
POMEGRANATE PERU 14,,22,ATHOS
,,,SIEMBRA
,,,SOBI FRUITS
POMEGRANATE PERU 8,,26,ATHOS
,,,SIEMBRA
,,,SOBI FRUITS
,SILVER,26,SIEMBRA
POMEGRANATE PERU 9,,26,ATHOS
,,,SIEMBRA
,,,SOBI FRUITS
,SILVER,26,SIEMBRA
POTATO BAKERS 60,,35,GENERIC
POTATO GOURMET FINGERLING 50LB,,78,EARTH FRESH
POTATO GRMET FINGERLING 16X1.5,,48,EARTH FRESH
POTATO RED CREAMER BOX,,68,EARTH FRESH
POTATO WHITE A BOX,,68,EARTH FRESH
POTATO YUKON A BOX,,68,GENERIC
POTATO YUKON CREAMER BOX,,68,EARTH FRESH
RADICCHIO 12,,20,CARROUSEL
,,,MR. LUCKY
,RECLAM,15,ROYAL ROSE
,SPECIAL,6,CARROUSEL
RADICCHIO TREVISO,,20,CARROUSEL
RADISH 16OZ,,31,JARDINS
RADISH BUNCH 24,,35,CHIVETTE
,LOCAL,30,BERTRAND
,,,GENERIC
RADISH HORSERADISH 5LB,,30,GENERIC
RADISH WATERMELON,,40,DEN BOER
RAPINI 26CT,,70,ANDY BOY
,ANDY BOY,25,ANDY BOY
,BP,70,ANDY BOY
RASPBERRY 6OZ,GREEN DOLE,38,DOLE
,GREEN DRIS,38,DRISCOLL'S
,P GREEN,38,DOLE
,RED DOLE,38,DOLE
RASPBERRY PINT,RED DRIS,48,DRISCOLL'S
RHUBARB,,58,LENNOX FARM
RPC PEPPER ORANGE XL,,20,PRIME TIME
RPC PEPPER RED XLG,,42,PRIME TIME
RPC PEPPER YELLOW XLG,,20,PRIME TIME
SAGE,,14,JAYCEE HERBS
SHARON FRUIT 10x1,,30,GALILEE
SHARON FRUIT 18,,8,GALILEE
SPINACH BUNCH,,40,OCEAN MIST
,BP,40,OCEAN MIST
SQUASH LONG 40LB,,66,GENERIC
STRAWBERRY 1LB,GREEN SD,12,SWEET DARLING
,GREEN WP,10,WELL PICT – OXN
,,,WELL PICT - WATS
,P GREEN,6,GEM PACK
,P RED,18,WELL PICT – OXN
,RED WP,6,WELL PICT – OXN
,,,WELL PICT - WATS
,SPECIAL,12,MAIN STREET
SUB ONION RED 35 LB/OREGON,,31,RIVER POINT
SWISS CHARD GREEN 12CT,,36,JJ LOOP
,,,LITTLE BEAR
SWISS CHARD RAINBOW 12CT,,32,LITTLE BEAR
SWISS CHARD RED 12CT,,32,JJ LOOP
,,,LITTLE BEAR
TAMARILLO,,33,CARIBBEAN
,,,FRUIT EXOTIC
,,,MONCO
TANGERINE ORTANIQUE 48,,20,DARLING
TANGERINE ORTANIQUE 54,,20,DARLING
THYME,,12,J.D. FRESH HERBS
TOMATO CHERRY COMPARI,,30,SAVOURA
,,,VILLAGE FARMS
TOMATO CHERRY STEM,,45,S & S
,,,SAVOURA
,,,SUNSET
TOMATO CHERRY STEM CLAMSHELL,SPECIAL,40,DEL FRESCO
TOMATO CLUSTER RED,,46,LOCAL
,,,SAVOURA
TOMATO GOURMET MEDLEY,,38,SUNSET
,,,VILLAGE FARMS
TOMATO GRAPE CLAMSHELL,,38,GENERIC
,,,RED SUN
,,,S & S
,,,ZAKARIA
,LOCAL,38,ZAKARIA
TOMATO GRAPE ROMA,SPECIAL,38,VILLAGE FARMS
TOMATO HEIRLOOM,,38,DEL FRESCO
TOMATO HEIRLOOM PACKAGED,,30,DEL FRESCO
TOMATO HOTHOUSE 20/22,,65,DEL FRESCO
,,,SAVOURA
TOMATO HOTHOUSE 24/26,,65,KOMIENSKI FARMS
,,,LOCAL
TOMATO HOTHOUSE GREEN,,30,NATURE FRESH
TOMATO KUMATO,,48,DEL FRESCO
TOMATO MULTI-COLOR,,60,SAVOURA
TOMATO ROMA 25LB,,69,KOMIENSKI FARMS
,,,LOCAL
,,,TOPLINE
,,,ZAKARIA
,LOCAL,69,PERFECT PICK
TOMATO ROMA JUMBO,,75,FRESH FARMS 
,DOMINICAN,75,ROSELAND
,GUATEMALAN,75,CARROUSEL
TOMATO ROMA XL,,69,FRESH FARMS 
,,,GENERIC
,DOMINICAN,69,ROSELAND
TURNIP RUTABAGA WAX,,33,GAMBLES
WATERMELON BIN 36,P GREEN,950,BORDERS
,,,GENERIC
,,,SOUTHERN CORPORATE PACKERS
WATERMELON BIN 45,P GREEN,950,SOUTHERN CORPORATE PACKERS
WATERMELON BIN SEEDED 35,P GREEN,340,SOUTHERN CORPORATE PACKERS
WATERMELON PERSONAL 6,,36,SOL
YAM LG,,42,HAM'S YAMS
,BP,42,GENERIC
ZUCCHINI CRATE,,15,SUNFED
ZUCCHINI FANCY,,18,FRESH FARMS 
,RECLAM,18,SUN ONE
ZUCCHINI GRAY,,35,FRESH FARMS 
,,,SUNFED
ZUCCHINI MEDIUM,,15,FRESH FARMS 
ZUCCHINI YELLOW,,15,FRESH FARMS 
,,,SUNFED
