Supplier L Pricing For 4/21/2026,,,
Description,Variant Code,Price,Brand
CABBAGE SAVOY 16,LOCAL,30,CAULI ONE
CANTALOUPE 12,,33,SOL
CANTALOUPE 9 JBO,,34,SOL
,SPECIAL,15,SOL
CARDONE,,90,JOE'S
CARROT BABY PEELED 12X1LB,,80,CARROUSEL
CARROT BUNCH,,50,GRIMMWAY
CASSAVA 35LBS,,48,GENERIC
CAULIFLOWER 12,,68,ANDY BOY
,,,OCEAN MIST
,MEXICO,56,CARROUSEL
CAULIFLOWER 9,,68,ANDY BOY
,,,OCEAN MIST
,MEXICO,55,CARROUSEL
,SPECIAL,34,CARROUSEL
CAULIFLOWER GREEN,,55,NATURES REWARD
CAULIFLOWER ORANGE,,65,NATURES REWARD
CAULIFLOWER PURPLE,,65,NATURES REWARD
CAULIFLOWER ROMANESCO,,65,NATURES REWARD
CELERY 24,,72,DOLE
,,,OCEAN MIST
,MEXICAN,55,GENERIC
,,,MR. LUCKY
,OM,12,OCEAN MIST
,SPECIAL,18,OCEAN MIST
CELERY 30,MEXICAN,60,GENERIC
CELERY HEART 18X2,,72,OCEAN MIST
CELERY ROOT,,17,DEN BOER
,,,GENERIC
CHESTNUT SNACK 16X200G,,90,MARCHESE
CILANTRO 24CT W/ROOTS,,28,GENERIC
,,,JJ LOOP
CILANTRO 60CT W/ ROOTS,,54,JJ LOOP
,,,LITTLE BEAR
CLEMENTINE OR 16KG SIZE 2 NP,,20,GRANOT
,,,MEHADRIN
CLEMENTINE OR 16KG SIZE 3 NP,,20,GRANOT
,,,MEHADRIN
,,,SHOHAM
,B LOT,20,MEHADRIN
,,,SHOHAM
CLEMENTINE OR 16KG SIZE2 NP-II,,20,MEHADRIN
,,,SHOHAM
,B LOT,20,SHOHAM
CLEMENTINE OR 16KG SIZE3 NP-II,,20,MEHADRIN
,,,SHOHAM
,B LOT,20,SHOHAM
CLEMENTINE OR 2.3 KG SIZE 20,,10,MEHADRIN
CLEMENTINE OR 8 KG SIZE 40,,40,SHOHAM
,TISSUE,40,SHOHAM
CLEMENTINE S&L POUCH S.2/3,SPECIAL,35,BOLLO
,,,LA KENZIE
CLEMENTINE STEM&LEAF 7K S.1,,37,BOLLO
,,,LA KENZIE
,B LOT,37,BOLLO
,,,LA KENZIE
,SPECIAL,37,LA KENZIE
CLEMENTINE STEM&LEAF 7K S.X,,37,BOLLO
,,,LA KENZIE
,SPECIAL,37,LA KENZIE
COCONUT GREEN 10CT,,27,GENERIC
COLLARD 12CT,,30,LITTLE BEAR
CORN PEACHES & CREAM,,100,PIONEER
CUCUMBER 24,,30,RENE PRODUCE
,,,SUNFED
CUCUMBER ENGLISH - LG,,12,BAYSHORE
,,,NATURE FRESH
,,,TOPLINE
,MEXICO,16,FRESH FARMS 
CUCUMBER ENGLISH - MD,,10,BAYSHORE
,,,DEL FRESCO
,,,TOPLINE
,B LOT,10,DEL FRESCO
CUCUMBER MINI 12X6 TRAY,,19,CARROUSEL
,,,NATURE FRESH
,BP,19,GREAT LAKES
,,,SUNSET
CURRY LEAVES,,48,GENERIC
DAIKON WITH TOPS 40LB,,45,GENERIC
DANDELION GREEN 12CT,,33,JJ LOOP
,,,LITTLE BEAR
DATE MEDJOUL 12X454G,,62,MEHADRIN
DATE YELLOW 4.5KG,,69,ATHOS
DILL WEED 24CT,,50,JJ LOOP
,,,LITTLE BEAR
DRAGON FRUIT 10LB,,30,ALK Fresh
,,,MONCO
DRAGON FRUIT RED FLESH 8CT,,30,HMV
EDDOE,,52,GENERIC
EGGPLANT BABY,,36,ST. DAVID'S
,,,ZAKARIA
EGGPLANT CHINESE 30LB,,52,GENERIC
EGGPLANT FANCY 18,,36,CARROUSEL
EGGPLANT FANCY 24,,34,CARROUSEL
,,,FRESH FARMS 
,RECLAM,18,SUN ONE
EGGPLANT INDIAN 30LB,,40,GENERIC
ENDIVE 24,,42,NATIONAL
,,,RAYS HERITAGE
ENDIVE BELGIUM,,48,FLANDRIA
,,,GENERIC
ESCAROLE 24,,50,NATIONAL
,,,RAYS HERITAGE
FIG PURPLE 16 BRAZIL ,,11,HMV
FIG PURPLE 20 BRAZIL ,,11,HMV
GARLIC 50X3CT,,18,LT BROS
GARLIC BRAID 1KG,,27,LT BROS
GARLIC LOOSE 10KG,,26,GENERIC
,,,LT BROS
GARLIC LOOSE PURPLE 10 KG,,60,EL PAJIZO
GARLIC PURPLE COLOSSAL 30LB,,90,EL PAJIZO
,P GREEN,45,GENERIC
GARLIC-PEELED,,22,LT BROS
,,,MONCO
GINGER,,29,AM Produce
,,,LT BROS
GOLDENBERRY 12X200G,,38,CARIBBEAN
,,,GENERIC
,B LOT,10,GENERIC
,P GREEN,38,ATHOS
GRANADILLA,,30,CARIBBEAN
,,,FRUIT EXOTIC
,,,MONCO
GRAPE COTTON CANDY 7.3KG,,70,GESEX
,SPECIAL,50,QUELAN
GRAPE SDLS BLK SW FAVOR JB900,,65,CLASSIC
GRAPE SDLS GR A.CRISP 4J,,95,TALSA
GRAPE SDLS GR A.CRISP 5J,,98,SUN FRUIT
,,,TALSA
GRAPE SDLS GR A.CRISP XJ1000,,95,FLAVOR FARMS
,,,SANTA MARIA
,,,SUBSOLE
,CHILE,95,GESEX
GRAPE SDLS GR SW GLOBE XJB1000,,55,UVICA
GRAPE SDLS GR SWEETIES XL700,RECLAM,30,GLS
GRAPE SDLS GR THOMPSON XL700,RECLAM,2,DOLE
GRAPE SDLS RED ALLISON JB900,,45,SANTA MARIA
,,,SUBSOLE
GRAPE SDLS RED ALLISON LG500,DISCOUNT,35,SUBSOLE
GRAPE SEED RED GLOBE JB900,,55,CLASSIC
,,,SANTA MARIA
GRAPEFRUIT RED 32,PLU,32,JAFFA
GRAPEFRUIT RED 35,PLU,32,JAFFA
,,,TOPPINS
GRAPEFRUIT RED 50,NON PLU,42,TOPPINS
,PLU,42,LOVELY
,,,TOPPINS
GRAPEFRUIT RED 55,NON PLU,42,TOPPINS
,PLU,42,LOVELY
,,,TOPPINS
GRAPEFRUIT RED 60,NON PLU,40,LOVELY
,,,TOPPINS
GUAVA 1.5 KG,,15,DIAMOND
JUICE BLUEBERRY 48OZ,,68,POM WONDERFUL
JUICE BLUEBERRY 6X16OZ,,26,POM WONDERFUL
JUICE CHERRY 6X16OZ,,26,POM WONDERFUL
JUICE POMEGRANATE 6X16OZ,,26,POM WONDERFUL
JUICE POMEGRANATE 6X48OZ,,68,POM WONDERFUL
KALE GREEN 24CT,,45,JJ LOOP
,,,LITTLE BEAR
KALE RED 12CT,,28,JJ LOOP
KALE TUSCAN (BLACK) 12CT,,36,LITTLE BEAR
KARELLA INDIAN 30LB,,72,GENERIC
KIWI 23 VF 9KG,,48,TOKAS
KIWI 25 VF 9KG,,54,PINK
,,,TOKAS
KIWI 27 VF 9KG,,54,BRERO
KIWI 30 VF 9KG,,42,TOKAS
,B LOT,42,TOKAS
KIWI 33 VF 9KG,,44,TOKAS
KIWI 42 VF 9KG,,38,BRERO
KIWI 46 VF 9KG,,30,BRERO
,,,TOKAS
,B LOT,10,BRERO
KIWI CLAMSHELL 10X600GR,,32,BRERO
KOLARABI 12CT,,42,LITTLE BEAR
KUMQUAT,,40,GENERIC
LEEK,,48,CULTURES
,P GREEN,38,GENERIC
LEMON 100 15KG,PLU,35,DOWN SOUTH
,,,FRUIT ONE
LEMON 100-2 15KG NP,NON PLU,34,FRUIT ONE
LEMON 113-2 15KG NP,NON PLU,34,FRUIT ONE
LEMON 138-2 15KG NP,NON PLU,34,FRUIT ONE
LEMON 14X2LB,,50,DARLING
LEMON 75 15KG,PLU,35,DOWN SOUTH
,,,FRUIT ONE
,SPECIAL,35,DOWN SOUTH
LEMON 88 15KG,PLU,35,DOWN SOUTH
,,,FRUIT ONE
LEMON FANCY 75,,42,KINGS RIVER
,SUNKIST,42,SUNKIST
LETTUCE 24 WRAPPED,,88,ANDY BOY
,,,GENERIC
,,,NATURES REWARD
,MEXICO,78,CARROUSEL
,P GREEN,62,ANDY BOY
,,,GENERIC
,SPECIAL,20,ANDY BOY
,,,CARROUSEL
LETTUCE 30 WRAPPED,SPECIAL,28,ANDY BOY
LETTUCE ARUGULA 24CT,,38,LITTLE BEAR
LETTUCE BOSTON 12,,60,FLANDRIA
,,,SOHO
LETTUCE FRISEE 10CT,,46,CUADRASPANIA
LETTUCE LEAF GREEN 24,,34,ANDY BOY
LETTUCE LEAF RED 24,,32,ANDY BOY
LETTUCE LITTLE GEM 8X4PK,,36,CHURCH BRO
LETTUCE ROMAINE 24,,44,ANDY BOY
LETTUCE ROMAINE HEART 18X2,SPECIAL,8,ANDY BOY
LETTUCE ROMAINE HEART S B 7X6,,60,ANDY BOY
LETTUCE ROMAINE HEARTS 12/3,,52,ANDY BOY
,SPECIAL,8,ANDY BOY
LETTUCE ROMAINE HRTS BABY 14X3,,34,ANDY BOY
LIME 175,,87,GENERIC
,,,SAAO
LIME 200,,80,PASO
,,,SAAO
LIME 230,,75,SAAO
LIME KEY 12X1LB,,37,PASO
LIME SWEET JMB,,85,GENERIC
LOQUAT 2KG XL,,40,FRUT ALTEA
MANDARIN 15X2LB,,47,DARLING
MANDARIN 17KG SIZE 1 NP,,42,LADY B
,B LOT,42,CAP AGRO
,,,LADY B
MANDARIN 17KG SIZE 2 NP,,42,CAP AGRO
,,,LADY B
,B LOT,42,BERKANE
,,,LADY B
MANDARIN 17KG SIZE 3 NP,,42,CAP AGRO
,,,LADY B
MANDARIN KINNOW 10KG SIZE 54,,26,TOPPINS
MANDARIN KINNOW 15KG SIZE 2 NP,,40,TOPPINS
MANGO 10,,16,GENERIC
MANGO 9,,16,GENERIC
MANGO GREEN 30LB,,52,GENERIC
MANGO MINGOLO 4KG 12CT,,24,GENERIC
MANGO PALMER 8,,24,GRAND VALLE 
MANGO PALMER 9,,24,GRAND VALLE 
MANGO SUGAR 2KG,,24,FRUIT EXOTIC
MELON DINO 5,,30,CLASSIC
MELON HONEYDEW 5 JUMBO,,34,KANDY
,BP,34,GENERIC
MELON HONEYDEW 6,,36,SOL
METHI 24CT,,44,ST. CARLOS
MINT 24,,22,J.D. FRESH HERBS
MURCOTT 10KG 36,,28,AGROMOON
MURCOTT 10KG 42,,28,AGROMOON
MURCOTT 10KG 48,,28,AGROMOON
MURCOTT 10KG 54,,28,AGROMOON
,B LOT,28,AGROMOON
MUSHROOM BROWN 5LBS,,15.5,UNIONVILLE
MUSHROOM BROWN SELECT,,20,A. & J. MUSHROOM
MUSHROOM OYSTER 5LB,,44,A. & J. MUSHROOM
,,,UNIONVILLE
MUSHROOM PORTABELLO 5 LB,,23,UNIONVILLE
MUSHROOM SELECT WHITE,,19,A. & J. MUSHROOM
,,,UNIONVILLE
MUSHROOM SHI TAKI LG,,26,UNIONVILLE
MUSHROOM SLICED WHITE 227G,,25,UNIONVILLE
MUSHROOM WHITE 227G,,20,UNIONVILLE
MUSHROOM WHITE 5LB,,14.5,UNIONVILLE
NECTARINE VF 48/50,,95,EXTRA VALUE
NECTARINE VF 56,,95,EXTRA VALUE
NECTARINE VF 64,,95,EXTRA VALUE
NUT PISTACHIO COMBO 1/4 BIN,,1600,WONDERFUL
NUT PISTACHIO COMBO 450GR BIN,,1500,WONDERFUL
NUT PISTACHIO FLAV HR+SC+SP+SV,,550,WONDERFUL
NUT PISTACHIO FLAV JL+CR,,550,WONDERFUL
NUT PISTACHIO S&P 12X200G,,65,WONDERFUL
NUT PISTACHIO SC 12X200G,,65,WONDERFUL
NUT PISTACHIO SH COMBO LS & RS,,550,WONDERFUL
OKRA INDIAN,,48,GENERIC
ONION 10LB MEDIUM,BP,3,GENERIC
ONION 16x3,,28,GENERIC
ONION GREEN ICELESS LARGE,,38,BAJA
,,,CHIVETTE
ONION GREEN ICELESS MEDIUM,,34,CHIVETTE
ONION RED 16X3LB,BP,47,GENERIC
ONION RED 7LB,BP,4,GENERIC
ONION WHITE 25LB,,30,GENERIC
ORANGE BLOOD 1/2 CARTON 72,,30,SUNKIST
ORANGE BLOOD 70,SANG,70,BOLLO
ORANGE BLOOD 80,SANG,70,BOLLO
ORANGE CARA CONSUMER PAK 56,,30,CLASSIC
,,,SUNKIST
ORANGE NAVEL CAT.I 100,NON PLU,33,LOVELY
ORANGE VALENCIA CAT II 72,NON PLU,24,AGROMOON
,,,PALM EGYPT
ORANGE VALENCIA CAT II 80,NON PLU,24,PALM EGYPT
ORANGE VALENCIA CAT II 88,NON PLU,24,AGROMOON
,,,PALM EGYPT
ORANGE VALENCIA CAT. I 80,NON PLU,24,AGROMOON
,,,KING
ORANGE VALENCIA CAT. I 88,NON PLU,24,AGROMOON
,,,KING
ORANGE VALENCIA CAT. II 100,NON PLU,24,AGROMOON
,,,PALM EGYPT
PARSLEY CURLY 30 CT,,28,JJ LOOP
,,,LITTLE BEAR
PARSLEY PLAIN 30 CT,,28,JJ LOOP
,,,LITTLE BEAR
PASSIONFRUIT MILAGROSA,,30,BAYSHORE
,SPECIAL,30,BAYSHORE
PASSIONFRUIT PURPLE,,30,FRUIT EXOTIC
PEACH VF 48/50,,85,EXTRA VALUE
PEACH VF 56,,85,EXTRA VALUE
PEACH VF 64,,85,EXTRA VALUE
PEACH VF 72,,85,EXTRA VALUE
PEAR ANJOU RED 45,,40,CMI
PEAR BARTLETT 70,ARGENTINA,55,BOSCHI
,,,DON ELIAS
,,,TRES ASES
PEAR CELINA QTEE 70,,28,STARGROW
PEAR CELINA QTEE 80,,28,STARGROW
PEAR PRICKLEY CONS PAK 18 MEX,,26,VILLA
PEPPER CHILI LONG GREEN,,84,GENERIC
PEPPER CUBANELLE,,95,EAST COAST GROWERS
,,,OAKES FARMS
PEPPER FINGER HOT RED,,60,FLANDRIA
,,,GENERIC
PEPPER GREEN JUMBO 10KG,,65,EAST COAST GROWERS
,LOCAL,68,DEL FRESCO
,,,S & S
,,,SAM DARAICHE
,,,ST. DAVID'S
PEPPER HOT YELLOW BUSHEL 1 1/9,,85,B.J. BROTHERS
PEPPER JALOPENO 1 1/9 BUSHEL,,90,B.J. BROTHERS
,B LOT,90,B.J. BROTHERS
PEPPER MINI SWEET,,50,GREAT LAKES
,BP,50,GENERIC
PEPPER ORANGE JUMBO 5KG,,30,CARROUSEL
,BP,30,SUNSET
,LOCAL,30,NATURE FRESH
,,,ST. DAVID'S
,,,SUNTASTIC
PEPPER ORANGE XLG 10KG,,20,DIVINE FLAVOR
,,,PRIME TIME
PEPPER RED JUMBO 5KG,,35,DEL FRESCO
,,,NATURE FRESH
,BP,35,SUNSET
,LOCAL,30,NATURE FRESH
,,,ST. DAVID'S
,,,SUNTASTIC
,,,ZAKARIA
PEPPER RUSTIC ORANGE,,20,CARROUSEL
,,,ST. DAVID'S
PEPPER RUSTIC RED,,35,CARROUSEL
,,,GENERIC
,,,ST. DAVID'S
PEPPER RUSTIC YELLOW,,20,CARROUSEL
,,,ST. DAVID'S
PEPPER SERRANO 1 1/9 BUSHEL,,89,B.J. BROTHERS
PEPPER THAI CHILI 30 LB,,70,GENERIC
PEPPER YELLOW JUMBO 5KG,,30,CARROUSEL
,BP,30,SUNSET
,LOCAL,30,NATURE FRESH
,,,ST. DAVID'S
,,,SUNTASTIC
PEPPER YELLOW XLG 10KG,,20,DIVINE FLAVOR
,,,PRIME TIME
PERSIMMON FUYU 9,,20,HMV
PINEAPPLE 6,,25,KAPI
PINEAPPLE CROWNLESS 5 PACK 7,,30,KAPI
PINEAPPLE CROWNLESS 6 PACK 8,,34,DOLE
,,,KAPI
PISTACHIO RSTD NO SALT 24X225,,118,WONDERFUL
PISTACHIO RSTD SALT 24X225,,118,WONDERFUL
PLUM BLACK VF 48,,48,CYD
,,,DDC
PLUM BLACK VF 60-65,,42,CYD
PLUM CHERRY 10X2LB BAG,,20,CYD
PLUM RED VF 50-55,,35,MONTE ALTO L. ANNE
,PF,25,TUNICHE
PLUM RED VF 60-65,,42,CYD
PLUM SUGAR 10X2LB BAG,,30,TRIO FRUIT
POMEGRANATE PERU 10,,26,ATHOS
,,,SIEMBRA
,,,SOBI FRUITS
,SILVER,26,SIEMBRA
POMEGRANATE PERU 14,,22,ATHOS
,,,SIEMBRA
,,,SOBI FRUITS
POMEGRANATE PERU 8,,26,ATHOS
,,,SIEMBRA
,,,SOBI FRUITS
,SILVER,26,SIEMBRA
POMEGRANATE PERU 9,,26,ATHOS
,,,SIEMBRA
,,,SOBI FRUITS
,SILVER,26,SIEMBRA
POTATO BAKERS 60,,35,GENERIC
POTATO GOURMET FINGERLING 50LB,,78,EARTH FRESH
POTATO GRMET FINGERLING 16X1.5,,48,EARTH FRESH
POTATO RED CREAMER BOX,,68,EARTH FRESH
POTATO WHITE A BOX,,68,EARTH FRESH
POTATO YUKON A BOX,,68,GENERIC
POTATO YUKON CREAMER BOX,,68,EARTH FRESH
RADICCHIO 12,,20,CARROUSEL
,,,MR. LUCKY
,RECLAM,15,ROYAL ROSE
,SPECIAL,6,CARROUSEL
RADICCHIO TREVISO,,20,CARROUSEL
RADISH 16OZ,,31,JARDINS
RADISH BUNCH 24,,35,CHIVETTE
,LOCAL,30,BERTRAND
,,,GENERIC
RADISH HORSERADISH 5LB,,30,GENERIC
RADISH WATERMELON,,40,DEN BOER
RAPINI 26CT,,70,ANDY BOY
,ANDY BOY,80,ANDY BOY
RASPBERRY 6OZ,GREEN DOLE,38,DOLE
,GREEN DRIS,38,DRISCOLL'S
,RED DOLE,42,DOLE
RASPBERRY PINT,RED DRIS,48,DRISCOLL'S
RHUBARB,,58,LENNOX FARM
ROSEMARY,,11,BONCHEFF
RPC PEPPER ORANGE XL,,20,PRIME TIME
RPC PEPPER RED XLG,,42,PRIME TIME
RPC PEPPER YELLOW XLG,,20,PRIME TIME
SAGE,,14,JAYCEE HERBS
SHARON FRUIT 10x1,,30,GALILEE
SHARON FRUIT 18,,8,GALILEE
SPINACH BUNCH,,44,OCEAN MIST
SQUASH LONG 40LB,,66,GENERIC
STRAWBERRY 1LB,GREEN SD,12,SWEET DARLING
,GREEN WP,10,WELL PICT – OXN
,,,WELL PICT - WATS
,P GREEN,32,GEM PACK
,P RED,18,WELL PICT – OXN
,RED WP,6,WELL PICT – OXN
,,,WELL PICT - WATS
SUB ONION RED 35 LB/OREGON,,31,RIVER POINT
SWISS CHARD GREEN 12CT,,36,JJ LOOP
,,,LITTLE BEAR
SWISS CHARD RAINBOW 12CT,,32,LITTLE BEAR
SWISS CHARD RED 12CT,,32,JJ LOOP
,,,LITTLE BEAR
TAMARILLO,,30,CARIBBEAN
,,,FRUIT EXOTIC
,,,MONCO
TANGERINE ORTANIQUE 48,,20,DARLING
TANGERINE ORTANIQUE 54,,20,DARLING
,B LOT,20,DARLING
THYME,,12,BONCHEFF
,,,J.D. FRESH HERBS
TOMATO CHERRY COMPARI,,30,SAVOURA
,,,VILLAGE FARMS
TOMATO CHERRY STEM,,45,S & S
,,,SAVOURA
,,,SUNSET
TOMATO CHERRY STEM CLAMSHELL,SPECIAL,40,DEL FRESCO
TOMATO CLUSTER RED,,46,LOCAL
,,,SAVOURA
TOMATO GOURMET MEDLEY,,38,SUNSET
,,,VILLAGE FARMS
TOMATO GRAPE CLAMSHELL,,38,GENERIC
,,,RED SUN
,,,S & S
,,,ZAKARIA
,LOCAL,38,ZAKARIA
,SPECIAL,30,GENERIC
,,,VINELAND
TOMATO GRAPE ROMA,SPECIAL,38,VILLAGE FARMS
TOMATO HEIRLOOM,,38,DEL FRESCO
TOMATO HEIRLOOM PACKAGED,,30,DEL FRESCO
TOMATO HOTHOUSE 20/22,,65,DEL FRESCO
,,,SAVOURA
TOMATO HOTHOUSE 24/26,,65,LOCAL
TOMATO HOTHOUSE GREEN,,30,NATURE FRESH
TOMATO KUMATO,,48,DEL FRESCO
TOMATO MULTI-COLOR,,60,SAVOURA
TOMATO ROMA 25LB,,69,KOMIENSKI FARMS
,,,LOCAL
,,,TOPLINE
,,,ZAKARIA
,LOCAL,69,PERFECT PICK
TOMATO ROMA JUMBO,,75,FRESH FARMS 
,DOMINICAN,75,ROSELAND
TOMATO ROMA XL,,69,FRESH FARMS 
,,,GENERIC
,DOMINICAN,69,ROSELAND
TURNIP RUTABAGA WAX,,33,GAMBLES
WATERMELON BIN 36,P GREEN,950,BORDERS
,,,GENERIC
,,,SOUTHERN CORPORATE PACKERS
WATERMELON BIN 45,P GREEN,950,SOUTHERN CORPORATE PACKERS
WATERMELON BIN SEEDED 35,P GREEN,340,SOUTHERN CORPORATE PACKERS
WATERMELON PERSONAL 6,,34,SOL
YAM LG,,42,HAM'S YAMS
,BP,42,GENERIC
ZUCCHINI CRATE,,15,SUNFED
ZUCCHINI FANCY,,32,FRESH FARMS 
,RECLAM,32,SUN ONE
ZUCCHINI GRAY,,40,FRESH FARMS 
,,,SUNFED
ZUCCHINI MEDIUM,,15,FRESH FARMS 
ZUCCHINI YELLOW,,32,FRESH FARMS 
,,,SUN ONE
,,,SUNFED
